titre,artistes,url,streams_avant,streams_apres,ecart
Dès l'aube,R.Y OFF,https://open.spotify.com/track/5bSfZXZIi6i5NQDyHEjuXv?si=jPw5d_ZORiGHUYKoFAuRPw,2427,2438,11
Lové,Brck,https://open.spotify.com/track/4oWmuzjk05Vk0zDw1EVtkg?si=jrDDwz1ISL63frU1jLNqgA,3268,3285,17
N-Wegen,Pakket,https://open.spotify.com/track/4ImpKb1ig3nNqRYl3J3CaD?si=5kok_pc_SC-7ZXzWiQYXIw,14372,15653,1281
Shoganai,Yu_Gen,https://open.spotify.com/track/0YkQCxBhtCVyweguLyzYYZ?si=89OG4uP_Qb2J6-QLpQXnRQ,10620,10642,22
Thérapie - Triple Cyclone,Imperium ftrs,https://open.spotify.com/track/5LeG6zoF3u9JEPuoGo41kW?si=kGltaUWVSleUl-KOy7-Aqg,10900,10975,75
Noyade,mash687,https://open.spotify.com/track/4Gl2hZsvGDNHAc7bUNpWII?si=erLuTgYQSmeJGNJ3VRS-6g,0,0,0
84 SPC,La SM,https://open.spotify.com/track/3jOaDYAWlJJ6akbaHmW5GB?si=g2MTOuaQQXuu1agVXGp_hw,42932,51246,8314
Demain,SVR,https://open.spotify.com/track/2Y8biLxpp4pNtVg6afcVdU?si=C_nZsuibS0uCFSb8jhIJTA,0,0,0
Barcha Jahel,M_A_C_H_E_K_I_L,https://open.spotify.com/track/0KFUqRwuNSmpYuhB16yHyz?si=-2nlg5OzRBe5NyFcVCBQBA,0,0,0
Fur Dib,OUENZA,https://open.spotify.com/track/7fx4eRJJsx9ephKOFJkwh9?si=n3t8gJmyS-mxQK9nu7-_Kg,8993,9002,9
Prélude,REDV,https://open.spotify.com/track/0g9LfZq6vmusGKYSmAwQiB?si=FFmQ_qgzSNGf7OZF4Aerkw,0,0,0
Crecimos - MH,Mhk,https://open.spotify.com/track/4OJ59CUVQHACtTvPwB3EMO?si=y-gAbbMmT5mKTHSw7oL8qw,1481,1489,8
Indépendant,Flexoy,https://open.spotify.com/track/2VkOzgI3HGtV4mLKgNGdZ8?si=uD70JvFkSzmvZsikjwYkow,6140,6261,121
SPAGNA,Many,https://open.spotify.com/track/7D797trTE7k3hhgSh9FmP7?si=G1-yO7_RQoCxr5pjbEdmjA,5803,5818,15
Plus de toi,Jéthro JNM,https://open.spotify.com/track/2WnJgTAdtkSIBslL27mlfz?si=HLs27_8CTs-2Wze9dqZv_g,2659,2670,11
Barca,Show Pen,https://open.spotify.com/track/5HXrFcUL5cNJgSWrZTl6EF?si=7tjTjE2VQ56NGXehgrcapQ,0,0,0
A.R.C,BLVCKY,https://open.spotify.com/track/5bclYFANAuhUR8h8dfbZuQ?si=jiMTmExSQ3GqvI6jDsrSDw,0,0,0
Silence,Lex,https://open.spotify.com/track/2UYq7xggVSmjh5ZkCb4Us9?si=KKn3kx8DRKGyDYgjcZU5CQ,6025,6027,2
Tout Seul 2,Dhaf,https://open.spotify.com/track/7Ki8NqYbcyVfgYXeBey53a?si=FvtAP9lpQGK1eXLiwq_omw,43952,44310,358
JARL - version non-transie,Chrim_a7,https://open.spotify.com/track/6ACS7KAwUGyNawjFXq6mzQ?si=LLAy8w-4RXKJQGaU4mY7iA,0,0,0
Viral,"Singy, AzyMute.999",https://open.spotify.com/track/53Bpjg7VVgIcb2emtTYiM0?si=dgjdTlMGQ9uBcTPiFXFOSg,0,0,0
Tout ira bien,Broska,https://open.spotify.com/track/5hVgAjemSjFWI1FBTcb0qS?si=qsgIsfdzTMeMUhzHE9Y5qg,1933,1935,2
Schicksalsschlag,Queris,https://open.spotify.com/track/58UmZISHUuntAMX7Aht1Cu?si=SpStDWC-R5GeyT3pZuYlwg,45163,45247,84
Missing U,Poundzy,https://open.spotify.com/track/0cX6ju2evsfFIUcvDBLavT?si=mjIXmVXaQC6T2BhkARoy6A,21325,22353,1028
MUNDO,WASSOU,https://open.spotify.com/track/4KMhKQ2EzjT0dQzhVREk3g?si=YtU9s6qATUCins9eOmDDkA,0,0,0
Lumière,"MATTEI, Impar",https://open.spotify.com/track/7ePhE87DSeKWqXpVBarQXY?si=tp5f1hyETy6gLFmCmWSyuw,28277,28309,32
La Muzica - MUZICA Edit,Dawez,https://open.spotify.com/track/3KabbFzb7eE4ui5Z2kGH30?si=ehpTOuyQQUqwnfQQAXFJfA,0,0,0
RSQ3,ALS,https://open.spotify.com/track/0JF3CUJp0cVlEnRKEpNGxD?si=dHm4RR4pTMCLS4AuKFxR-w,0,0,0
Raisons,Dooums,https://open.spotify.com/track/52QLTpAi7FIx5tidsVQrYf?si=sPQ72YsWQumjM6YuUn6xnQ,36844,36858,14
En Folie,Ramo,https://open.spotify.com/track/335r02oPncx245el2LC6Zn?si=q3NWpYN-RNqixPB29Dsp2g,6160,6160,0
Déconnecter,Matsun,https://open.spotify.com/track/6qrPmBvDXB7GIGgBjGXQEn?si=YcR_MAXPQzKOoLFa6esOFQ,0,0,0
Ultima Speranza,Gezah,https://open.spotify.com/track/1xgTNPumgJ4XFMk26DoHLo?si=s7yQOHg8RSuO9fG5_gg5MQ,4635,4641,6
TLJ - Version SPEED UP,Pepiito 680,https://open.spotify.com/track/6CHzKTbXyXVIjknsr5wHIp?si=A4j3quSfRvix7cdTpSU00w,37030,37048,18
La scène,"M'C, Nedson",https://open.spotify.com/track/0kW81u2oNrNKevJUe80YAs?si=i1XcTMzeTvuxAjM_94xC8A,8159,8282,123
Sin Consuelo,Cyril Kamer,https://open.spotify.com/track/2cfo1d20JZEjaKmdvmIvRF?si=KWYET_OHQUyRFdr6jTRQng,543520,550002,6482
NATEN,ISH,https://open.spotify.com/track/6wgFKNrI9xHavNFodIRAYo?si=HIHUCLX0S3S9kySAqPlFeA,1238286,1246523,8237
I'am a Leader,CHK,https://open.spotify.com/track/1myUABqa1pwfCPdh7sndnc?si=_CBLe2wuTzeIpDBh9485yQ,0,0,0
dom peri,7evenka,https://open.spotify.com/track/2snZvzkNZKvCpeh7Tl1oNp?si=Uo04PZcXR4amGxvsUk7AGQ,0,0,0
Sans Effets,Nokka,https://open.spotify.com/track/4aOAqZ9MtW5iYhxG0xJYlH?si=BstSOe7zSpCDFknMOq2Fbw,0,0,0
Élévation,"ÆRON SKAR, H.E.M",https://open.spotify.com/track/4O84Col3x0RgzRzzUXpQES?si=3Evn8JpVQvqHqdpD9Te7_g,11835,11844,9
Canonnier,lansky binks,https://open.spotify.com/track/1zEHDSPrERgC19ahQzIPIf?si=69dqJsyiS4uryyLdgIcv-g,0,0,0
Sans atmosphère,L'insolite,https://open.spotify.com/track/3rIO6R9x7yWka5yHyqxPgr?si=Jvp1JaPORnSwJgjA1lBYrg,0,0,0
Destinée,FJU Sentinelles,https://open.spotify.com/track/3WFGMIw1v6B9eezp6u5dsd?si=e80NH1a-Sqe2J2hBuKFCeA,2625,2671,46
Comptant,D2L,https://open.spotify.com/track/67M2Od9xgzDWE6cwECwLsv?si=vynN-DnoTPuHFpmiT8l9fw,74634,74968,334
Focus,DELYZ,https://open.spotify.com/track/61T41DoYhex6ILdnCIFYU2?si=7fsFQrjJTQ6FPyG7Zni5-A,0,0,0
4REAL,Neo'saka,https://open.spotify.com/track/6I680HNEpsBqCtW5bdUFL2?si=b_-hJ4omR8Gs7jW01C610Q,11174,11174,0
LA NUIT EST CHAUDE,Harclès,https://open.spotify.com/track/1V7083KLTOWmrvA8O7sxU0?si=7o3dTfF0QnO73qkXPuQ0XA,0,0,0
3WLLD(partie 2),AMD King,https://open.spotify.com/track/0Db2D6bxx0yVq2PRTUUGEc?si=Ol6ApCT9TOeeTPr1RlhCIg,0,0,0
Laisse tomber,Djiway,https://open.spotify.com/track/2bu1RF6kvn9kI5eAKIkaoc?si=q9dWKxA6SWuUAEAz3DhSNA,2243,2274,31
